iter,loss,mask-enc,mask-pred,time (ms)
385,0.00067,136.00000,16.00000,115
386,0.00288,113.00000,20.00000,91
387,0.00015,112.00000,20.00000,90
388,0.00038,97.00000,24.00000,84
389,0.00133,100.00000,24.00000,84
390,0.00021,113.00000,20.00000,96
391,0.00106,117.00000,20.00000,94
392,0.00031,91.00000,24.00000,80
393,0.00019,112.00000,20.00000,89
394,0.00012,106.00000,20.00000,86
395,0.00019,111.00000,20.00000,91
396,0.00027,118.00000,20.00000,93
397,0.00041,98.00000,24.00000,85
398,0.00012,115.00000,20.00000,92
399,0.00116,96.00000,24.00000,82
400,0.00033,114.00000,20.00000,90
401,0.00012,120.00000,20.00000,107
402,0.00030,108.00000,20.00000,97
403,0.00013,112.00000,20.00000,148
404,0.00036,117.00000,20.00000,93
405,0.00164,113.00000,20.00000,94
406,0.00128,112.00000,20.00000,90
407,0.00307,115.00000,20.00000,92
408,0.00060,117.00000,20.00000,95
409,0.00383,115.00000,20.00000,94
410,0.00021,111.00000,20.00000,90
411,0.00024,115.00000,20.00000,93
412,0.00027,114.00000,20.00000,90
413,0.00036,96.00000,24.00000,82
414,0.00013,109.00000,20.00000,90
415,0.00039,116.00000,20.00000,93
416,0.00011,109.00000,20.00000,91
417,0.00016,86.00000,24.00000,91
418,0.00034,114.00000,20.00000,99
419,0.00023,115.00000,20.00000,92
420,0.00123,111.00000,20.00000,90
421,0.00018,101.00000,24.00000,85
422,0.00031,93.00000,24.00000,80
423,0.00211,113.00000,20.00000,91
424,0.00016,115.00000,20.00000,93
425,0.00072,99.00000,24.00000,84
426,0.00056,111.00000,20.00000,91
427,0.00042,114.00000,20.00000,92
428,0.00013,120.00000,20.00000,92
429,0.00020,115.00000,20.00000,95
430,0.00027,97.00000,24.00000,82
431,0.00018,101.00000,24.00000,86
432,0.00030,115.00000,20.00000,92
433,0.00033,109.00000,20.00000,103
434,0.00020,133.00000,16.00000,116
435,0.00062,114.00000,20.00000,96
436,0.00052,91.00000,24.00000,79
437,0.00011,108.00000,20.00000,85
438,0.00012,97.00000,24.00000,83
439,0.00021,114.00000,20.00000,90
440,0.00042,110.00000,20.00000,89
441,0.00022,100.00000,24.00000,83
442,0.00022,115.00000,20.00000,92
443,0.00023,116.00000,20.00000,90
444,0.00011,112.00000,20.00000,92
445,0.00134,97.00000,24.00000,83
446,0.00022,111.00000,20.00000,90
447,0.00032,113.00000,20.00000,92
448,0.00024,133.00000,16.00000,101
449,0.00020,111.00000,20.00000,105
450,0.00058,116.00000,20.00000,103
451,0.00019,96.00000,24.00000,87
452,0.00033,98.00000,24.00000,95
453,0.00057,115.00000,20.00000,114
454,0.00036,103.00000,24.00000,93
455,0.00055,115.00000,20.00000,98
456,0.00125,113.00000,20.00000,92
457,0.00024,113.00000,20.00000,92
458,0.00021,111.00000,20.00000,91
459,0.00014,132.00000,16.00000,100
460,0.00062,131.00000,16.00000,102
461,0.00291,118.00000,20.00000,94
462,0.00050,113.00000,20.00000,92
463,0.00015,112.00000,20.00000,88
464,0.00024,112.00000,20.00000,90
465,0.00019,116.00000,20.00000,104
466,0.00019,129.00000,16.00000,115
467,0.00046,112.00000,20.00000,89
468,0.00012,118.00000,20.00000,93
469,0.00027,113.00000,20.00000,92
470,0.00077,93.00000,24.00000,80
471,0.00042,115.00000,20.00000,95
472,0.00008,107.00000,20.00000,87
473,0.00010,110.00000,20.00000,88
474,0.00016,97.00000,24.00000,83
475,0.00131,99.00000,24.00000,83
476,0.00018,131.00000,16.00000,100
477,0.00010,116.00000,20.00000,90
478,0.00013,110.00000,20.00000,89
479,0.00016,113.00000,20.00000,92
480,0.00034,116.00000,20.00000,90
481,0.00031,93.00000,24.00000,104
482,0.00035,109.00000,20.00000,99
483,0.00017,116.00000,20.00000,99
484,0.00013,114.00000,20.00000,89
485,0.00077,115.00000,20.00000,93
486,0.00078,106.00000,24.00000,87
487,0.00010,116.00000,20.00000,93
488,0.00017,109.00000,20.00000,90
489,0.00048,117.00000,20.00000,91
490,0.00013,111.00000,20.00000,90
491,0.00011,117.00000,20.00000,92
492,0.00011,113.00000,20.00000,91
493,0.00056,101.00000,24.00000,85
494,0.00016,110.00000,20.00000,88
495,0.00011,116.00000,20.00000,92
496,0.00240,113.00000,20.00000,91
497,0.00032,113.00000,20.00000,107
498,0.00020,97.00000,24.00000,90
499,0.00043,112.00000,20.00000,98
500,0.00021,115.00000,20.00000,100
501,0.00066,117.00000,20.00000,93
502,0.00206,118.00000,20.00000,91
503,0.00040,99.00000,24.00000,86
504,0.00221,132.00000,16.00000,98
505,0.00037,111.00000,20.00000,88
506,0.00082,97.00000,24.00000,81
507,0.00087,118.00000,20.00000,92
508,0.00039,91.00000,24.00000,81
509,0.00098,115.00000,20.00000,91
510,0.00024,109.00000,20.00000,87
511,0.00026,132.00000,16.00000,97
512,0.00233,98.00000,24.00000,83
513,0.00011,133.00000,16.00000,117
514,0.00048,117.00000,20.00000,106
515,0.00012,109.00000,20.00000,89
516,0.00016,111.00000,20.00000,90
517,0.00009,97.00000,24.00000,82
518,0.00024,117.00000,20.00000,92
519,0.00016,99.00000,24.00000,84
520,0.00015,133.00000,16.00000,101
521,0.00010,114.00000,20.00000,92
522,0.00023,97.00000,24.00000,85
523,0.00026,111.00000,20.00000,88
524,0.00007,118.00000,20.00000,93
525,0.00020,116.00000,20.00000,90
526,0.00015,115.00000,20.00000,92
527,0.00019,114.00000,20.00000,90
528,0.00039,114.00000,20.00000,90
529,0.00016,117.00000,20.00000,108
530,0.00014,117.00000,20.00000,98
531,0.00080,115.00000,20.00000,99
532,0.00068,115.00000,20.00000,92
533,0.00029,88.00000,24.00000,77
534,0.00027,115.00000,20.00000,93
535,0.00032,135.00000,16.00000,109
536,0.00044,109.00000,20.00000,89
537,0.00012,114.00000,20.00000,90
538,0.00050,109.00000,20.00000,88
539,0.00012,101.00000,24.00000,83
540,0.00020,113.00000,20.00000,95
541,0.00108,114.00000,20.00000,93
542,0.00024,117.00000,20.00000,92
543,0.00084,113.00000,20.00000,92
544,0.00027,110.00000,20.00000,90
545,0.00041,118.00000,20.00000,119
546,0.00072,98.00000,24.00000,95
547,0.00009,117.00000,20.00000,98
548,0.00021,114.00000,20.00000,90
549,0.00034,94.00000,24.00000,82
550,0.00043,116.00000,20.00000,90
551,0.00137,112.00000,20.00000,87
552,0.00018,102.00000,24.00000,84
553,0.00017,109.00000,20.00000,90
554,0.00017,114.00000,20.00000,90
555,0.00018,109.00000,20.00000,90
556,0.00015,94.00000,24.00000,81
557,0.00032,113.00000,20.00000,90
558,0.00009,101.00000,24.00000,86
559,0.00027,113.00000,20.00000,91
560,0.00009,97.00000,24.00000,84
561,0.00015,107.00000,20.00000,100
562,0.00023,109.00000,20.00000,101
563,0.00009,113.00000,20.00000,92
564,0.00027,114.00000,20.00000,89
565,0.00053,116.00000,20.00000,92
566,0.00028,113.00000,20.00000,91
567,0.00024,114.00000,20.00000,91
568,0.00047,113.00000,20.00000,90
569,0.00011,113.00000,20.00000,91
570,0.00028,116.00000,20.00000,90
571,0.00008,116.00000,20.00000,89
572,0.00072,113.00000,20.00000,91
573,0.00009,96.00000,24.00000,80
574,0.00013,120.00000,20.00000,92
575,0.00027,118.00000,20.00000,92
576,0.00025,114.00000,20.00000,89
577,0.00017,113.00000,20.00000,107
578,0.00027,114.00000,20.00000,95
579,0.00030,118.00000,20.00000,99
580,0.00018,92.00000,24.00000,79
581,0.00020,115.00000,20.00000,91
582,0.00008,111.00000,20.00000,88
583,0.00023,116.00000,20.00000,89
584,0.00009,98.00000,24.00000,82
585,0.00247,132.00000,16.00000,99
586,0.00049,110.00000,20.00000,89
587,0.00009,110.00000,20.00000,89
588,0.00010,113.00000,20.00000,90
589,0.00014,109.00000,20.00000,90
590,0.00007,98.00000,24.00000,83
591,0.00010,113.00000,20.00000,90
592,0.00043,114.00000,20.00000,90
593,0.00067,111.00000,20.00000,111
594,0.00013,112.00000,20.00000,115
595,0.00038,135.00000,16.00000,102
596,0.00058,113.00000,20.00000,92
597,0.00091,115.00000,20.00000,92
598,0.00020,117.00000,20.00000,99
599,0.00028,109.00000,20.00000,88
600,0.00013,115.00000,20.00000,93
601,0.00012,117.00000,20.00000,95
602,0.00009,119.00000,20.00000,95
603,0.00037,111.00000,20.00000,91
604,0.00042,111.00000,20.00000,90
605,0.00014,110.00000,20.00000,88
606,0.00043,110.00000,20.00000,127
607,0.00026,116.00000,20.00000,91
608,0.00033,109.00000,20.00000,91
609,0.00010,118.00000,20.00000,106
610,0.00050,96.00000,24.00000,91
611,0.00023,111.00000,20.00000,89
612,0.00018,115.00000,20.00000,98
613,0.00024,115.00000,20.00000,92
