name,ra,dec,zspec
HSCJ135138+002839,207.9122,0.4778,0.461
HSCJ135242-002614,208.1791,-0.4372,0.508
HSCJ135853-021525,209.723,-2.2571,0.737
HSCJ141001+012956,212.5044,1.4992,0.541
HSCJ142241+424608,215.6716,42.7689,0.605
HSCJ142353+013446,215.9711,1.5797,0.519
HSCJ145242+425731,223.1789,42.9589,0.718
HSCJ145759+423019,224.4966,42.5053,0.607
HSCJ220550+041524,331.4591,4.2569,0.268
HSCJ221234+045456,333.1438,4.9158,0.262
HSCJ221315+034536,333.3137,3.7602,0.446
HSCJ224454+031551,341.2286,3.2642,0.791
HSCJ224800-010259,342.003,-1.0499,0.277
HSCJ225800+004533,344.5026,0.7594,0.576
HSCJ230521-000211,346.3403,-0.0366,0.492
HSCJ230658+022543,346.7428,2.4286,0.362
HSCJ231004+024759,347.5196,2.7999,0.39
HSCJ231145-013039,347.9379,-1.5109,0.4
HSCJ231555+012906,348.98,1.485,0.424
HSCJ232415+011331,351.0652,1.2255,0.592
HSCJ233130+003733,352.877,0.6259,0.552
HSCJ233230+003821,353.1289,0.6394,0.623
HSCJ233311+022310,353.2963,2.3864,0.472
HSCJ233528+001355,353.8677,0.2322,0.568
HSCJ0003+0054,0.8045,0.9069,
HSCJ0004-0103,1.2155,-1.0551,
HSCJ0014-0057,3.7257,-0.9525,0.535
HSCJ0032+0100,8.0733,1.0102,0.39
HSCJ0034+0225,8.6173,2.4227,
HSCJ0107+0117,16.7886,1.2918,0.422
HSCJ0156-0424,29.2265,-4.4071,
HSCJ0157-0515,29.3186,-5.2537,0.56
HSCJ0159-0358,29.9093,-3.9829,
HSCJ0208-0237,32.0673,-2.6233,0.514
HSCJ0210-0038,32.6662,-0.6422,0.287
HSCJ0211-0343,32.815,-3.7299,
HSCJ0214-0206,33.5333,-2.1081,
HSCJ0214-0535,33.5335,-5.5925,0.445
HSCJ0217+0033,34.336,0.5536,0.381
HSCJ0218-0515,34.5306,-5.2601,0.649
HSCJ0219-0527,34.985,-5.4665,0.285
HSCJ0220-0222,35.1766,-2.3668,0.546
HSCJ0222-0222,35.5932,-2.3699,
HSCJ0224-0346,36.004,-3.7738,
HSCJ0225-0532,36.3888,-5.5346,0.566
HSCJ0228-0212,37.0118,-2.2005,0.206
HSCJ0230-0540,37.5355,-5.6774,0.498
HSCJ0230-0159,37.7006,-1.9841,
HSCJ0231-0621,37.7516,-6.3612,
HSCJ0233-0228,38.2734,-2.4769,0.572
HSCJ0233-0328,38.3837,-3.4671,
HSCJ0235-0634,38.9092,-6.5684,0.181
HSCJ0238-0348,39.5988,-3.8036,0.322
HSCJ0239-0127,39.926,-1.4632,
HSCJ0239-0134,39.9714,-1.5827,0.373
HSCJ0837+0156,129.3593,1.9441,0.396
HSCJ0838+0208,129.7372,2.1474,0.36
HSCJ0839-0140,129.889,-1.6792,
HSCJ0839+0228,129.9141,2.4756,0.431
HSCJ0840+0135,130.2476,1.597,0.55
HSCJ0844-0010,131.1135,-0.1832,
HSCJ0845-0054,131.3341,-0.9156,
